Id,QuantitePhysique,StockMin,VenteFFO,LivreFou,Transfert,AnnonceTrf,Valeur_Stock_TND,ArticleId
70,715,61,46,17,0,19,374080.85,892
71,889,77,17,89,7,11,389950.96,126
72,633,97,42,60,16,13,352656.96,463
73,192,10,40,41,0,20,199603.2,677
74,894,15,47,41,14,7,325818.3,369
75,496,61,47,78,2,11,232202.4,622
76,961,70,42,89,3,23,1141360.48,439
77,300,87,12,91,4,27,377313.0,395
78,897,83,50,91,16,1,201825.0,533
79,509,21,19,86,17,27,569657.53,131
80,172,67,7,61,17,7,144338.96,479
81,216,31,48,84,2,3,19068.48,250
82,732,13,10,41,12,24,1055287.8,446
83,225,42,42,60,3,21,207047.25,288
84,944,78,40,92,15,2,424450.72,140
85,708,52,14,73,19,2,301976.16,815
86,351,58,45,95,12,20,44503.29,660
87,803,81,27,29,7,8,325913.61,658
88,297,21,7,11,10,23,109296.0,119
89,959,34,47,14,18,11,1271499.74,607
90,873,50,24,73,0,9,977035.41,131
91,604,78,12,49,13,10,622766.28,64
92,373,96,50,16,16,21,43551.48,790
93,604,38,6,50,0,17,383684.96,617
94,471,50,9,37,7,15,360993.24,873
95,466,28,38,36,4,23,707485.86,697
96,869,99,2,76,10,9,385331.98,682
97,705,25,17,90,18,15,201199.95,515
98,848,37,31,37,12,1,564437.28,647
99,341,29,45,26,7,22,435102.36,830
100,53,32,31,93,12,9,3780.49,754
101,675,30,1,70,12,10,638151.75,835
102,694,70,22,96,12,12,128341.42,433
103,540,46,18,89,6,22,203580.0,74
104,561,60,6,16,10,24,107678.34,877
105,594,16,45,38,14,20,146100.24,811
106,591,27,28,89,15,9,170403.03,168
107,148,36,13,95,6,23,169076.68,919
108,9,56,46,73,3,21,3955.5,667
109,879,28,24,54,5,29,144621.87,805
110,98,55,30,22,1,3,6868.82,58
111,665,53,37,55,4,20,501875.5,528
112,413,41,2,15,7,12,317089.01,740
113,309,98,38,22,20,23,141704.31,501
114,794,98,50,85,2,24,1072940.14,385
115,885,93,24,35,20,20,448801.2,475
116,376,11,7,14,2,3,399060.08,456
117,656,95,32,28,0,18,300835.04,501
118,586,71,17,88,3,25,780235.56,587
119,185,59,30,82,13,9,57703.35,608
120,128,22,20,8,17,5,186588.16,586
121,832,99,1,50,17,26,255191.04,416
122,802,77,31,8,16,26,990341.68,550
123,551,93,7,96,6,30,66588.35,599
124,919,25,11,76,5,0,225283.66,675
125,457,50,7,5,4,18,106211.37,569
126,668,30,5,71,8,27,125737.64,212
127,35,20,7,64,9,11,18056.15,772
128,557,31,27,84,0,7,352954.19,990
129,47,76,50,37,17,14,17687.04,308
130,590,72,44,40,16,29,134997.9,144
131,620,78,32,26,3,21,608368.8,361
132,45,40,2,24,4,9,15734.25,840
133,852,37,8,77,17,6,163532.88,877
134,367,45,8,93,19,13,88013.94,606
135,563,42,16,48,20,28,571979.85,77
136,409,68,5,32,13,30,117926.97,168
137,146,78,13,9,20,23,3508.38,712
138,648,99,41,24,11,18,677062.8,276
139,663,75,38,20,13,26,177743.67,674
140,323,65,24,3,19,7,126002.3,158
141,276,25,34,14,17,13,222629.88,80
142,337,91,5,46,10,24,367370.44,68
143,149,38,17,1,3,12,86129.45,280
144,227,58,6,100,3,5,293824.26,993
145,745,49,37,62,3,16,472881.3,540
146,717,83,18,70,8,19,535484.28,358
147,918,16,10,40,12,5,157134.06,102
148,825,96,50,68,17,19,744793.5,354
149,870,61,30,75,4,8,587015.1,904
150,703,75,45,19,4,4,410643.39,10
151,581,44,3,92,20,11,849119.88,388
152,796,41,43,77,13,22,939590.44,725
153,187,66,22,59,16,9,1555.84,469
154,975,64,33,91,7,9,1009680.75,283
155,878,21,19,52,10,27,148531.26,651
156,649,20,4,93,7,30,49369.43,93
157,169,83,3,10,9,17,221335.92,96
158,504,11,27,86,16,29,599538.24,952
159,139,71,31,65,17,22,40105.67,749
160,415,11,39,24,0,22,120403.95,128
161,719,78,47,44,7,23,818610.26,436
162,973,77,43,77,1,19,150017.14,678
163,987,31,43,97,16,28,1116504.27,460
164,179,19,23,17,16,11,244968.66,231
165,52,64,31,48,5,11,28741.96,976
166,115,53,43,31,17,27,124363.3,994
167,878,25,18,38,15,9,795362.64,785
168,218,10,47,80,18,12,190765.26,272
169,945,49,41,65,1,29,382318.65,223
170,913,89,31,7,11,0,463000.56,475
171,471,52,19,45,3,0,196053.75,631
172,911,33,25,45,0,3,538801.84,359
173,503,35,5,67,16,28,438344.38,442
174,420,25,31,0,4,24,163842.0,158
175,256,38,30,50,11,9,10762.24,673
176,438,33,34,34,3,14,204011.64,374
177,859,66,10,17,11,23,36112.36,673
178,5,55,45,25,3,6,4723.6,445
179,41,27,25,53,10,28,49885.52,292
180,164,95,12,61,8,3,45013.08,33
181,500,80,31,87,4,10,261590.0,432
182,782,61,32,92,12,4,408258.74,770
183,980,23,50,2,4,4,1103862.2,113
184,512,11,49,87,7,1,37488.64,353
185,849,53,27,76,0,13,653746.98,695
186,296,46,31,10,13,7,231519.36,492
187,156,75,11,31,8,24,55328.52,633
188,884,43,44,31,13,6,1272880.44,118
189,723,23,44,93,16,19,799905.51,486
190,193,85,40,81,4,7,13857.4,186
191,135,61,2,35,6,29,19773.45,124
192,436,12,39,25,2,27,254715.56,150
193,389,62,33,39,20,7,176749.93,53
194,344,64,30,7,16,13,189406.4,228
195,52,48,7,34,11,8,6593.08,660
196,359,63,15,40,1,5,4692.13,966
197,0,16,42,95,10,6,0.0,42
198,483,45,38,12,13,5,182718.9,293
199,971,72,23,42,9,3,327896.99,259
200,685,11,43,70,4,10,586832.65,100
201,759,56,47,99,18,16,439142.22,370
202,380,40,41,35,6,18,289214.2,620
203,89,23,8,80,19,3,3169.29,394
204,600,93,12,24,14,29,373344.0,43
205,76,79,39,43,9,23,13008.92,102
206,779,35,34,92,4,1,861862.23,486
207,196,63,35,91,8,28,219357.32,131
208,777,81,22,46,14,20,126215.88,899
209,120,65,4,61,13,16,68256.0,735
210,975,74,50,2,5,19,716342.25,954
211,713,26,18,5,18,1,912782.6,281
212,995,98,12,94,12,15,998392.95,814
213,545,75,4,21,14,24,541206.8,702
214,393,81,49,49,12,19,283128.99,522
215,211,33,0,20,18,6,23739.61,279
216,713,11,50,65,14,16,945338.18,607
217,737,77,16,38,7,9,869947.43,725
218,274,80,7,21,7,1,192764.48,726
219,243,47,2,81,4,30,174296.61,547
220,284,27,17,6,20,7,245219.8,905
221,215,78,7,0,20,11,224012.8,844
222,619,57,20,10,17,8,592358.24,648
223,136,62,39,37,10,1,104416.72,740
224,835,11,22,28,8,5,529749.05,641
225,994,12,34,84,18,3,378167.3,263
226,763,98,24,83,8,27,585808.51,740
227,649,87,35,26,14,7,35701.49,642
228,275,36,37,80,12,4,297643.5,333
229,237,65,23,18,15,2,133739.1,457
230,185,68,11,22,6,18,109275.8,508
231,965,33,41,36,0,9,1245921.15,503
232,906,32,25,87,19,6,817837.14,167
233,146,19,27,31,14,29,18950.8,72
234,993,61,6,92,16,4,365324.7,661
235,768,11,38,12,12,12,741365.76,745
236,112,11,48,82,1,4,67191.04,22
237,788,20,17,18,20,19,727781.04,255
238,811,11,50,13,17,23,73071.1,14
239,346,100,5,25,4,15,167079.94,838
240,576,66,10,39,10,15,163048.32,778
241,249,17,34,88,8,20,175350.78,159
242,126,12,2,13,17,9,18753.84,557
243,523,63,9,0,7,0,616496.71,106
244,437,59,9,45,20,9,69880.67,233
245,943,97,24,87,3,15,861968.01,232
246,112,38,6,36,11,2,12633.6,174
247,341,25,23,10,1,19,141941.25,631
248,182,64,33,42,19,5,27027.0,155
249,435,29,42,87,9,19,457037.1,696
250,293,54,6,34,15,21,141486.77,838
251,955,43,45,9,0,27,35048.5,378
252,152,93,9,40,4,12,192228.32,956
253,738,71,4,14,18,13,804619.26,458
254,744,45,9,11,10,4,828957.36,983
255,785,59,22,40,15,13,39108.7,187
256,710,62,38,81,10,4,228641.3,493
257,966,93,15,49,13,17,150744.3,822
258,551,78,31,68,17,26,567838.56,510
259,393,20,37,91,13,16,46609.8,236
260,795,98,47,28,2,7,135022.8,592
261,2,36,1,46,17,15,1177.52,371
262,136,24,3,44,11,27,22703.84,981
263,887,27,18,58,4,26,656947.68,870
264,564,63,15,26,7,1,180107.76,874
265,141,25,44,90,4,12,55021.02,765
266,26,99,27,47,1,22,1810.9,751
267,678,84,4,61,19,27,143315.64,109
268,30,28,23,18,2,7,25215.9,162
269,12,82,26,19,5,15,1351.8,79
270,143,77,44,38,15,13,68062.28,762
271,345,66,50,82,0,9,264880.65,740
272,159,17,41,4,19,24,162593.4,114
273,515,30,0,50,13,21,159088.65,178
274,896,68,35,91,8,29,52989.44,971
275,513,49,45,29,13,29,747810.36,586
276,278,21,33,48,4,23,73536.56,161
277,410,89,3,28,12,5,307860.8,217
278,763,81,38,9,14,15,175367.92,843
279,668,92,25,48,5,1,734125.32,321
280,380,92,27,24,8,3,180929.4,823
281,79,56,38,99,10,0,84546.59,107
282,288,30,34,13,2,6,334036.8,246
283,11,49,12,70,6,20,12659.02,612
284,33,40,17,10,18,18,39255.48,952
285,577,71,2,6,10,2,874281.94,46
286,316,11,22,96,9,30,306668.52,967
287,512,34,20,96,12,23,546995.2,408
288,997,26,44,86,3,10,556844.44,365
289,918,74,6,64,4,0,721961.1,418
290,815,58,30,75,1,9,878186.95,602
291,155,97,29,10,20,2,145597.7,166
292,735,39,13,87,20,4,406256.55,976
293,735,30,32,66,19,20,278587.05,788
294,952,53,28,100,4,10,159183.92,536
295,368,89,27,5,12,7,184025.76,298
296,625,87,4,19,18,20,22450.0,214
297,99,11,9,98,9,17,102025.44,510
298,992,21,31,12,14,10,1085664.64,889
299,956,47,10,8,8,18,107836.8,174
300,361,21,4,22,14,8,84311.55,373
301,262,66,41,17,3,18,293366.64,485
302,40,56,18,51,13,27,43729.2,500
303,939,97,8,56,11,16,389309.4,635
304,639,50,23,10,13,16,172402.2,866
305,269,97,2,79,20,1,385522.73,461
306,809,41,44,71,0,4,343048.36,759
307,107,47,24,20,18,12,34169.38,874
308,74,38,24,59,2,11,96572.96,875
309,479,92,34,59,3,2,396310.23,478
310,749,23,25,98,13,6,547938.44,185
311,336,18,20,43,19,15,363931.68,412
312,719,70,7,35,14,1,127708.78,218
313,159,70,9,81,6,10,63924.36,559
314,32,86,49,48,1,29,7896.96,582
315,370,65,30,27,1,6,268760.6,828
316,23,97,27,34,8,20,25171.66,889
317,85,28,4,35,12,2,74756.65,181
318,894,67,26,67,6,21,591309.48,306
319,265,33,3,11,13,10,195670.7,915
320,771,48,10,25,11,30,402307.8,987
321,493,70,34,88,5,30,151947.53,430
322,447,55,44,73,12,26,409335.78,714
323,574,86,12,9,18,19,8064.7,11
324,331,95,46,95,10,0,102957.55,149
325,918,68,9,63,10,3,136323.0,155
326,993,96,26,33,16,23,861477.15,812
327,461,26,40,57,20,18,188046.51,4
328,37,37,47,24,13,22,31697.53,100
329,792,31,38,48,6,11,439068.96,560
330,975,34,43,73,0,11,710638.5,215
331,372,12,19,39,16,26,12406.2,834
332,127,99,31,83,14,13,138991.34,889
333,360,55,34,54,16,24,123674.4,421
334,116,32,29,54,11,5,54028.16,344
335,609,30,34,55,12,9,637020.09,567
336,675,98,43,55,20,9,182115.0,866
337,635,22,5,13,2,20,745172.5,719
338,631,62,6,63,19,29,474966.32,17
339,102,91,28,64,18,25,131648.34,558
340,683,47,26,27,7,24,728112.15,34
341,564,58,7,25,15,30,416829.84,466
342,359,69,26,82,12,0,104156.67,128
343,383,38,32,36,8,28,429557.48,963
344,270,49,50,53,7,0,66187.8,675
345,930,63,2,1,0,4,89075.4,922
346,383,76,47,76,10,10,240309.52,810
347,982,83,27,30,17,12,1116141.2,175
348,631,92,25,6,18,13,750782.73,198
349,961,91,24,93,5,12,540514.45,132
350,325,76,10,55,7,3,414420.5,926
351,820,26,32,15,20,18,91987.6,728
352,401,90,16,70,5,30,461972.05,804
353,208,21,5,3,13,0,41847.52,331
354,788,85,9,3,19,22,914552.8,644
355,942,20,36,48,0,23,140207.28,557
356,133,68,40,80,11,5,78952.79,752
357,668,38,19,24,17,26,774779.8,246
358,743,58,49,33,1,8,32275.92,252
359,957,28,40,2,20,18,657803.52,85
360,105,24,29,76,3,3,74361.0,888
361,289,43,11,11,2,15,56236.51,146
362,370,36,25,12,15,25,305756.9,865
363,423,19,31,80,2,6,245060.82,23
364,429,58,20,81,14,25,539656.26,704
365,184,48,0,22,18,20,168290.08,165
366,875,14,7,43,11,15,409631.25,622
367,614,79,0,20,16,23,244746.54,629
368,948,25,12,77,0,17,1271941.08,261
369,530,75,48,19,6,27,650527.3,24
370,117,37,1,41,4,7,54496.26,374
371,745,98,8,34,8,15,696500.5,86
372,976,21,22,90,17,20,253506.24,205
373,478,73,27,65,12,29,304232.66,302
374,256,32,12,87,8,30,304596.48,198
375,105,84,50,98,18,9,10156.65,403
376,813,36,46,62,13,28,800715.57,170
377,433,86,47,34,10,19,244341.9,457
378,621,59,27,25,18,11,840144.69,111
379,919,90,4,57,5,28,3740.33,383
380,981,75,16,75,13,9,388162.08,35
381,846,92,33,45,12,0,858055.5,619
382,184,51,27,23,11,7,264943.44,118
383,220,94,23,47,4,24,242301.4,75
384,125,11,20,88,0,22,19631.25,322
385,218,69,36,41,7,17,86190.66,337
386,394,46,38,27,16,6,429507.28,68
387,574,45,45,77,2,18,676613.98,106
388,661,63,43,96,13,10,488069.18,915
389,327,35,12,6,15,15,20103.96,833
390,281,63,7,15,14,5,70362.4,48
391,334,85,24,30,18,0,317436.94,616
392,18,92,50,73,0,29,21900.96,292
393,291,26,25,4,17,29,301307.22,473
394,40,53,41,2,2,15,26462.0,541
395,849,63,46,38,8,10,877033.98,98
396,354,61,5,71,10,15,182625.06,772
397,48,60,19,89,14,15,27455.04,628
398,656,25,23,79,3,0,485859.84,870
399,48,11,8,13,10,27,36336.48,230
400,741,65,14,21,2,6,568347.0,705
401,923,57,34,0,1,8,407541.42,742
402,803,15,7,6,9,2,693350.35,905
403,337,98,39,48,8,22,306262.23,271
404,947,27,37,58,3,4,1076360.2,175
405,882,28,48,74,13,20,200416.86,327
406,684,25,33,67,7,18,745744.68,458
407,677,72,17,41,15,7,390683.16,490
408,270,47,45,10,11,17,52231.5,95
409,893,41,42,82,6,22,1202612.03,856
410,76,73,3,27,0,21,61303.88,80
411,479,59,12,62,3,10,463216.95,222
412,833,85,48,67,16,27,29921.36,214
413,778,49,45,58,20,4,855014.22,321
414,516,23,8,28,11,12,385720.32,869
415,463,89,32,25,12,6,487992.74,999
416,284,64,10,87,9,30,291097.16,71
417,591,92,6,18,14,28,212895.93,891
418,762,24,15,2,14,5,574593.72,110
419,29,70,42,67,14,11,1658.51,274
420,121,80,5,45,13,6,105883.47,272
421,406,74,27,65,10,1,60291.0,155
422,279,57,6,6,20,12,146692.62,452
423,950,64,12,37,6,12,477413.0,750
424,608,45,33,77,15,16,534729.92,181
425,111,97,3,82,7,30,103551.9,444
426,224,24,3,4,18,8,229062.4,114
427,67,78,6,35,7,28,20607.86,245
428,716,61,25,50,3,7,771819.36,636
429,843,98,17,63,6,5,500430.09,752
430,208,54,40,36,19,9,34222.24,805
431,3,22,11,64,19,15,1780.89,752
432,312,98,15,21,10,21,298265.76,757
433,170,33,21,58,4,30,22066.0,72
434,682,70,27,42,0,5,61448.2,14
435,270,19,10,86,0,19,213777.9,998
436,992,70,37,0,15,27,973390.08,361
437,483,24,2,2,18,21,676910.01,254
438,855,39,33,64,5,24,427559.85,298
439,793,22,6,38,10,14,939673.28,151
440,752,54,34,32,15,8,970914.72,503
441,469,11,22,38,10,28,218450.82,374
442,793,94,38,61,3,8,244148.84,531
443,531,91,1,18,13,27,305946.27,703
444,675,28,22,63,0,7,810945.0,226
445,758,99,27,46,6,23,128738.72,592
446,198,58,40,13,8,28,78039.72,92
447,695,79,28,67,5,8,38231.95,642
448,695,54,21,50,18,13,350829.05,933
449,282,49,12,5,18,16,29900.46,968
450,351,88,7,55,14,18,411898.5,719
451,811,54,18,14,0,15,225985.15,992
452,701,28,29,87,4,16,27381.06,950
453,296,89,35,85,5,9,187566.32,990
454,295,18,18,1,14,1,290589.75,499
455,289,85,7,6,15,9,116920.73,223
456,440,55,42,0,1,8,657663.6,6
457,358,46,50,64,17,4,292858.32,142
458,88,44,9,93,6,13,98853.04,977
459,940,20,18,28,1,15,138302.2,600
460,363,41,43,81,12,13,459071.58,956
461,990,22,16,38,19,9,1194732.0,409
462,577,65,43,41,18,4,178241.07,178
463,786,35,16,17,13,17,229889.28,700
464,308,49,5,38,18,29,79999.92,205
465,472,79,11,48,13,3,547803.2,644
466,539,66,44,40,16,29,440923.56,142
467,729,55,29,45,13,14,723926.16,702
468,984,62,29,3,17,0,665557.92,431
469,785,63,5,96,4,19,131047.9,981
470,309,41,37,65,11,4,244777.44,929
471,556,82,18,6,12,4,599345.76,636
472,686,10,29,97,16,14,285540.64,413
473,55,20,3,34,20,3,14731.75,860
474,608,22,18,72,15,22,421301.44,342
475,885,17,7,94,18,21,1292843.4,340
476,757,16,44,26,16,4,527636.57,524
477,758,73,8,28,20,27,15076.62,576
478,308,90,19,92,0,25,216899.76,159
479,638,98,12,14,2,0,850696.44,497
480,618,25,33,12,7,6,583663.92,157
481,485,13,32,56,12,1,519051.85,107
482,124,48,25,61,5,26,126110.48,949
483,861,79,16,78,14,27,416517.36,241
484,631,25,27,18,20,0,169164.79,674
485,145,94,15,21,16,23,98362.2,190
486,559,35,30,61,9,9,99188.96,717
487,102,85,31,47,8,12,47591.16,684
488,714,23,29,53,13,4,776189.4,396
489,290,68,7,72,12,0,48775.1,29
490,310,14,41,83,19,14,421321.0,595
491,929,55,8,59,14,8,935512.29,44
492,162,55,32,64,6,11,94629.06,10
493,723,77,24,65,2,5,455677.98,925
494,155,55,41,92,18,10,138917.2,672
495,732,27,17,100,9,29,1027340.04,471
496,69,92,30,48,15,19,32380.32,404
497,184,83,45,64,16,8,45105.76,675
498,714,51,37,74,11,18,1013323.08,133
499,849,61,4,5,0,27,301114.83,633
500,162,39,6,85,3,15,11283.3,751
501,695,70,20,97,7,24,933781.15,957
502,939,40,6,22,12,24,682070.82,828
503,430,18,3,78,8,3,534580.3,997
504,867,19,28,97,11,19,1183680.42,39
505,860,13,11,41,3,22,572424.6,647
506,386,27,40,73,17,6,553203.62,461
507,258,72,28,86,9,7,28101.36,201
508,759,30,27,67,6,2,772388.76,207
509,24,90,42,12,6,1,22499.76,597
510,143,10,23,99,13,18,182462.28,830
511,885,19,21,23,20,16,490626.3,560
512,194,36,36,60,16,11,259407.1,509
513,633,81,8,8,14,13,94690.47,366
514,385,19,36,10,4,25,244255.55,641
515,305,22,7,63,7,1,376900.7,530
516,553,52,1,28,9,29,525576.73,616
517,257,59,45,45,2,27,231282.01,849
518,161,46,4,68,18,7,23180.78,893
519,530,88,32,39,12,19,169250.2,874
520,559,99,7,74,15,29,691812.81,59
521,269,93,1,4,10,13,130699.03,940
522,205,52,48,7,4,6,60147.0,268
523,836,52,48,84,1,7,160695.92,561
524,74,82,39,89,1,11,63864.96,506
525,972,63,38,94,19,29,826822.08,73
526,908,80,30,16,8,23,6928.04,83
527,106,14,31,64,7,20,65957.44,43
528,441,71,19,100,7,0,260825.04,359
529,56,13,49,100,6,17,41143.76,954
530,880,58,43,87,0,17,1048388.0,623
531,53,59,49,48,4,13,29662.51,494
532,437,80,8,14,14,3,512819.5,719
533,630,57,22,24,10,13,719718.3,919
534,59,40,14,11,18,0,51893.45,941
535,422,78,36,5,0,27,67482.02,233
536,255,17,4,7,4,14,6683.55,738
537,289,15,20,44,19,20,211420.84,185
538,250,47,8,77,12,15,36257.5,912
539,125,94,4,9,8,30,33511.25,674
540,210,73,45,94,11,28,31256.4,557
541,879,38,28,91,9,30,33595.38,938
542,798,80,18,83,7,16,521644.62,376
543,273,50,44,69,16,3,201577.74,915
544,354,62,45,79,15,8,181669.26,56
545,208,27,33,29,9,23,99295.04,81
546,215,25,23,92,4,1,224892.15,567
547,715,66,41,97,14,30,345888.4,241
548,21,73,2,34,8,18,30447.27,117
549,307,20,3,35,19,12,10932.27,394
550,19,58,24,56,1,7,11222.92,508
551,388,33,42,55,17,1,420801.52,211
552,312,14,34,97,11,29,324355.2,677
553,931,87,48,43,8,25,327805.1,27
554,605,37,48,3,10,23,312113.45,772
555,636,65,27,100,1,25,810346.68,850
556,566,59,46,86,9,27,222047.46,112
557,547,69,27,73,18,24,383988.53,961
558,266,30,24,59,7,4,167577.34,532
559,15,45,43,35,2,7,4646.1,930
560,555,47,21,73,12,1,64801.8,790
561,280,56,17,84,8,25,116550.0,631
562,829,87,0,15,9,18,676488.87,669
563,328,43,11,56,14,0,340988.8,677
564,9,69,2,45,15,20,10528.02,451
565,569,37,26,7,18,30,470204.53,865
566,283,88,35,40,2,14,77522.19,82
567,264,45,16,63,4,7,193131.84,185
568,178,28,39,83,1,7,147471.22,646
569,670,14,11,87,16,27,964739.7,118
570,593,50,2,70,7,1,693679.54,451
571,731,43,16,2,11,17,912017.53,975
572,45,86,15,44,3,2,18587.7,736
573,454,24,32,9,7,6,123592.42,520
574,584,57,43,53,2,20,541449.76,334
575,896,46,9,3,10,19,824158.72,437
576,368,52,26,83,11,15,7095.04,808
577,996,47,39,3,5,11,13017.72,966
578,297,29,37,3,3,19,450020.34,46
579,827,50,32,91,16,25,620977.76,217
580,729,54,13,48,18,1,804990.96,596
581,743,29,24,97,20,2,31235.72,673
582,79,38,36,64,18,20,54540.81,979
583,751,63,34,93,3,27,55528.94,562
584,540,16,38,60,16,16,109306.8,900
585,324,44,12,73,9,29,170352.72,452
586,336,41,49,46,7,14,29662.08,250
587,766,24,44,30,14,23,509558.52,323
588,901,62,23,10,11,17,150412.94,981
589,78,56,41,61,19,7,27807.0,518
590,805,63,14,72,4,29,910624.05,460
591,250,62,43,74,4,19,65380.0,551
592,814,46,21,40,3,2,275791.34,267
593,431,74,9,73,15,20,33902.46,419
594,791,35,11,58,0,5,113904.0,903
595,428,43,48,70,15,23,62689.16,124
596,129,14,27,3,5,2,79300.17,104
597,527,77,24,54,11,4,625274.96,136
598,713,81,15,91,9,3,772271.69,412
599,918,53,37,77,19,3,380299.86,345
600,46,19,47,45,14,29,35317.42,740
601,645,67,47,55,9,24,50735.7,419
602,716,27,46,23,18,29,388745.04,489
603,959,75,5,19,0,18,335314.35,840
604,378,96,41,58,12,10,117901.98,608
605,180,75,46,75,8,30,204971.4,450
606,99,39,19,63,10,1,117189.27,792
607,530,77,37,65,13,9,397330.4,578
608,393,50,48,22,4,1,79067.67,331
609,967,36,27,66,8,18,32249.45,834
610,630,50,6,44,9,5,400774.5,901
611,294,45,31,56,7,28,444730.86,122
612,295,43,38,96,3,29,33276.0,174
613,682,45,9,12,6,17,540996.5,238
614,520,31,1,76,1,30,22557.6,859
615,552,78,12,0,15,26,755367.84,913
616,26,57,13,36,18,13,5975.84,843
617,455,76,8,58,9,29,228655.7,750
618,733,100,7,56,13,15,825643.87,113
619,88,27,17,93,3,30,56500.4,270
620,822,20,47,28,2,10,1147479.12,363
621,519,52,17,58,20,23,137285.88,161
622,688,19,45,88,10,28,66309.44,526
623,39,65,6,90,16,10,35540.7,947
624,861,81,42,80,1,30,163667.49,195
625,642,11,15,17,18,12,591603.0,650
626,965,38,43,25,8,15,155258.85,894
627,496,33,46,63,9,4,93550.56,156
628,650,21,33,92,6,0,264231.5,204
629,68,72,35,78,6,22,64240.96,445
630,39,63,44,33,19,12,19714.89,183
631,597,40,40,44,15,16,397369.17,647
632,977,33,19,29,9,21,41073.08,673
633,501,90,25,76,11,17,668023.38,497
634,302,22,14,14,9,13,97253.06,493
635,457,51,15,84,13,3,591531.66,993
636,475,50,42,14,11,22,417757.75,181
637,721,26,49,61,15,19,770280.35,408
638,703,40,1,37,8,16,779078.66,422
639,911,62,3,71,10,8,435111.82,221
640,325,62,25,56,13,12,256434.75,692
641,934,16,17,62,7,10,316448.54,267
642,838,15,19,57,13,7,387952.1,652
643,896,31,34,26,20,3,1192988.16,587
644,991,88,39,42,4,19,58607.74,971
645,20,12,24,11,10,29,26395.6,553
646,785,80,4,83,1,16,1133563.55,362
647,370,78,12,20,17,12,366777.3,216
648,735,39,18,20,11,10,1019915.4,881
649,220,80,46,31,0,1,184742.8,424
650,20,77,6,64,12,25,5396.0,866
651,43,30,18,38,0,7,57335.34,497
652,790,98,15,4,8,23,525831.9,647
653,832,58,41,51,4,26,1045166.72,127
654,897,44,5,9,2,16,380363.88,759
655,720,63,1,1,17,19,552794.4,740
656,155,22,47,75,12,6,125178.0,942
657,620,49,50,41,13,16,523559.0,852
658,23,48,17,58,6,3,10947.08,762
659,992,93,36,60,12,9,901519.68,271
