Id,CodeArticle,CodeBarre,Libelle,CodeDim1,LibelleDim1,CodeDim2,LibelleDim2,Fournisseur,FamilleNiv1,FamilleNiv2,FamilleNiv3,FamilleNiv4,FamilleNiv5,FamilleNiv6,FamilleNiv7,FamilleNiv8,Quantite_Achat,DateLibre,Prix_Vente_TND,Prix_Achat_TND,IdCategorie
29,ART000029,1234560000029,Michelin Pneu,DIM1-29,Dimension 1 Article 29,DIM2-29,Dimension 2 Article 29,Carrefour Tunisie,Famille1-29,Famille2-29,Famille3-29,Famille4-29,Famille5-29,Famille6-29,Famille7-29,Famille8-29,16,2025-06-22,264.98,174.28,CAT007
30,ART000030,1234560000030,Microsoft Clavier,DIM1-30,Dimension 1 Article 30,DIM2-30,Dimension 2 Article 30,Nestlé Tunisia,Famille1-30,Famille2-30,Famille3-30,Famille4-30,Famille5-30,Famille6-30,Famille7-30,Famille8-30,20,2025-07-25,59.79,45.45,CAT008
31,ART000031,1234560000031,3M Masque facial,DIM1-31,Dimension 1 Article 31,DIM2-31,Dimension 2 Article 31,Decathlon Tunisia,Famille1-31,Famille2-31,Famille3-31,Famille4-31,Famille5-31,Famille6-31,Famille7-31,Famille8-31,68,2025-03-14,18.61,11.21,CAT010
32,ART000032,1234560000032,Apple Smartphone,DIM1-32,Dimension 1 Article 32,DIM2-32,Dimension 2 Article 32,LG Electronics,Famille1-32,Famille2-32,Famille3-32,Famille4-32,Famille5-32,Famille6-32,Famille7-32,Famille8-32,18,2026-01-01,2149.6,1332.5,CAT009
33,ART000033,1234560000033,3M Masque facial,DIM1-33,Dimension 1 Article 33,DIM2-33,Dimension 2 Article 33,Puma Tunisia,Famille1-33,Famille2-33,Famille3-33,Famille4-33,Famille5-33,Famille6-33,Famille7-33,Famille8-33,72,2026-03-01,9.33,6.36,CAT010
34,ART000034,1234560000034,Dell Ordinateur portable,DIM1-34,Dimension 1 Article 34,DIM2-34,Dimension 2 Article 34,Decathlon Tunisia,Famille1-34,Famille2-34,Famille3-34,Famille4-34,Famille5-34,Famille6-34,Famille7-34,Famille8-34,42,2026-01-14,2769.44,2188.64,CAT008
35,ART000035,1234560000035,Castrol Huile moteur,DIM1-35,Dimension 1 Article 35,DIM2-35,Dimension 2 Article 35,Apple MENA,Famille1-35,Famille2-35,Famille3-35,Famille4-35,Famille5-35,Famille6-35,Famille7-35,Famille8-35,31,2025-02-12,78.47,61.94,CAT007
36,ART000036,1234560000036,IKEA Lampe,DIM1-36,Dimension 1 Article 36,DIM2-36,Dimension 2 Article 36,Nike Middle East,Famille1-36,Famille2-36,Famille3-36,Famille4-36,Famille5-36,Famille6-36,Famille7-36,Famille8-36,22,2025-11-07,44.72,33.19,CAT005
37,ART000037,1234560000037,Castrol Huile moteur,DIM1-37,Dimension 1 Article 37,DIM2-37,Dimension 2 Article 37,Monoprix,Famille1-37,Famille2-37,Famille3-37,Famille4-37,Famille5-37,Famille6-37,Famille7-37,Famille8-37,54,2025-02-27,55.29,35.4,CAT007
38,ART000038,1234560000038,Huawei Smartphone,DIM1-38,Dimension 1 Article 38,DIM2-38,Dimension 2 Article 38,Danone Tunisia,Famille1-38,Famille2-38,Famille3-38,Famille4-38,Famille5-38,Famille6-38,Famille7-38,Famille8-38,21,2024-10-30,2345.86,1443.99,CAT009
39,ART000039,1234560000039,Pantene Shampoing,DIM1-39,Dimension 1 Article 39,DIM2-39,Dimension 2 Article 39,Sony Middle East,Famille1-39,Famille2-39,Famille3-39,Famille4-39,Famille5-39,Famille6-39,Famille7-39,Famille8-39,50,2025-10-12,38.07,29.19,CAT004
40,ART000040,1234560000040,Panzani Pâtes,DIM1-40,Dimension 1 Article 40,DIM2-40,Dimension 2 Article 40,Puma Tunisia,Famille1-40,Famille2-40,Famille3-40,Famille4-40,Famille5-40,Famille6-40,Famille7-40,Famille8-40,23,2025-08-16,5.33,3.79,CAT003
41,ART000041,1234560000041,Pharmaton Vitamines,DIM1-41,Dimension 1 Article 41,DIM2-41,Dimension 2 Article 41,Samsung Tunisia,Famille1-41,Famille2-41,Famille3-41,Famille4-41,Famille5-41,Famille6-41,Famille7-41,Famille8-41,29,2024-08-22,51.08,34.34,CAT010
42,ART000042,1234560000042,Dell Ordinateur portable,DIM1-42,Dimension 1 Article 42,DIM2-42,Dimension 2 Article 42,Danone Tunisia,Famille1-42,Famille2-42,Famille3-42,Famille4-42,Famille5-42,Famille6-42,Famille7-42,Famille8-42,88,2025-02-14,2156.94,1365.48,CAT008
43,ART000043,1234560000043,Mobilia Oreiller,DIM1-43,Dimension 1 Article 43,DIM2-43,Dimension 2 Article 43,Monoprix,Famille1-43,Famille2-43,Famille3-43,Famille4-43,Famille5-43,Famille6-43,Famille7-43,Famille8-43,50,2024-07-19,53.09,33.87,CAT005
44,ART000044,1234560000044,Sensodyne Dentifrice,DIM1-44,Dimension 1 Article 44,DIM2-44,Dimension 2 Article 44,Carrefour Tunisie,Famille1-44,Famille2-44,Famille3-44,Famille4-44,Famille5-44,Famille6-44,Famille7-44,Famille8-44,10,2025-10-23,15.83,12.62,CAT004
45,ART000045,1234560000045,LG Réfrigérateur,DIM1-45,Dimension 1 Article 45,DIM2-45,Dimension 2 Article 45,Nike Middle East,Famille1-45,Famille2-45,Famille3-45,Famille4-45,Famille5-45,Famille6-45,Famille7-45,Famille8-45,55,2026-04-04,1867.92,1227.68,CAT001
46,ART000046,1234560000046,Castrol Huile moteur,DIM1-46,Dimension 1 Article 46,DIM2-46,Dimension 2 Article 46,Carrefour Tunisie,Famille1-46,Famille2-46,Famille3-46,Famille4-46,Famille5-46,Famille6-46,Famille7-46,Famille8-46,87,2025-06-30,62.16,37.95,CAT007
47,ART000047,1234560000047,Samsung Télévision LED,DIM1-47,Dimension 1 Article 47,DIM2-47,Dimension 2 Article 47,Géant Tunisia,Famille1-47,Famille2-47,Famille3-47,Famille4-47,Famille5-47,Famille6-47,Famille7-47,Famille8-47,59,2025-04-06,2045.52,1403.41,CAT001
48,ART000048,1234560000048,Sensodyne Dentifrice,DIM1-48,Dimension 1 Article 48,DIM2-48,Dimension 2 Article 48,Carrefour Tunisie,Famille1-48,Famille2-48,Famille3-48,Famille4-48,Famille5-48,Famille6-48,Famille7-48,Famille8-48,40,2026-01-13,14.29,10.36,CAT004
49,ART000049,1234560000049,Lenovo Ordinateur portable,DIM1-49,Dimension 1 Article 49,DIM2-49,Dimension 2 Article 49,L'Oréal Tunisie,Famille1-49,Famille2-49,Famille3-49,Famille4-49,Famille5-49,Famille6-49,Famille7-49,Famille8-49,53,2025-09-07,2592.3,1755.3,CAT008
50,ART000050,1234560000050,Nike Ballon de football,DIM1-50,Dimension 1 Article 50,DIM2-50,Dimension 2 Article 50,Adidas MENA,Famille1-50,Famille2-50,Famille3-50,Famille4-50,Famille5-50,Famille6-50,Famille7-50,Famille8-50,13,2024-08-21,46.6,34.8,CAT006
51,ART000051,1234560000051,Samsung Chargeur,DIM1-51,Dimension 1 Article 51,DIM2-51,Dimension 2 Article 51,Apple MENA,Famille1-51,Famille2-51,Famille3-51,Famille4-51,Famille5-51,Famille6-51,Famille7-51,Famille8-51,59,2024-10-31,24.23,17.09,CAT009
52,ART000052,1234560000052,Casa Lampe,DIM1-52,Dimension 1 Article 52,DIM2-52,Dimension 2 Article 52,Samsung Tunisia,Famille1-52,Famille2-52,Famille3-52,Famille4-52,Famille5-52,Famille6-52,Famille7-52,Famille8-52,25,2025-06-16,73.42,44.45,CAT005
53,ART000053,1234560000053,Continental Pneu,DIM1-53,Dimension 1 Article 53,DIM2-53,Dimension 2 Article 53,Samsung Tunisia,Famille1-53,Famille2-53,Famille3-53,Famille4-53,Famille5-53,Famille6-53,Famille7-53,Famille8-53,62,2024-12-27,313.62,212.2,CAT007
54,ART000054,1234560000054,Zara Pantalon,DIM1-54,Dimension 1 Article 54,DIM2-54,Dimension 2 Article 54,Nike Middle East,Famille1-54,Famille2-54,Famille3-54,Famille4-54,Famille5-54,Famille6-54,Famille7-54,Famille8-54,76,2024-10-26,69.2,50.95,CAT002
55,ART000055,1234560000055,Mamma Pâtes,DIM1-55,Dimension 1 Article 55,DIM2-55,Dimension 2 Article 55,Unilever North Africa,Famille1-55,Famille2-55,Famille3-55,Famille4-55,Famille5-55,Famille6-55,Famille7-55,Famille8-55,31,2025-12-04,3.35,2.52,CAT003
56,ART000056,1234560000056,Puma Chaussures de sport,DIM1-56,Dimension 1 Article 56,DIM2-56,Dimension 2 Article 56,Carrefour Tunisie,Famille1-56,Famille2-56,Famille3-56,Famille4-56,Famille5-56,Famille6-56,Famille7-56,Famille8-56,28,2025-08-08,245.28,180.26,CAT006
57,ART000057,1234560000057,Dove Savon,DIM1-57,Dimension 1 Article 57,DIM2-57,Dimension 2 Article 57,Apple MENA,Famille1-57,Famille2-57,Famille3-57,Famille4-57,Famille5-57,Famille6-57,Famille7-57,Famille8-57,30,2026-04-23,11.25,6.86,CAT004
58,ART000058,1234560000058,Zara Pantalon,DIM1-58,Dimension 1 Article 58,DIM2-58,Dimension 2 Article 58,L'Oréal Tunisie,Famille1-58,Famille2-58,Famille3-58,Famille4-58,Famille5-58,Famille6-58,Famille7-58,Famille8-58,43,2024-09-05,130.87,94.47,CAT002
59,ART000059,1234560000059,Zara Pantalon,DIM1-59,Dimension 1 Article 59,DIM2-59,Dimension 2 Article 59,Unilever North Africa,Famille1-59,Famille2-59,Famille3-59,Famille4-59,Famille5-59,Famille6-59,Famille7-59,Famille8-59,32,2025-09-04,106.13,73.16,CAT002
60,ART000060,1234560000060,Délice Yaourt,DIM1-60,Dimension 1 Article 60,DIM2-60,Dimension 2 Article 60,LG Electronics,Famille1-60,Famille2-60,Famille3-60,Famille4-60,Famille5-60,Famille6-60,Famille7-60,Famille8-60,1,2025-03-01,3.99,2.59,CAT003
61,ART000061,1234560000061,LG Télévision LED,DIM1-61,Dimension 1 Article 61,DIM2-61,Dimension 2 Article 61,Monoprix,Famille1-61,Famille2-61,Famille3-61,Famille4-61,Famille5-61,Famille6-61,Famille7-61,Famille8-61,81,2024-11-13,1202.89,958.09,CAT001
62,ART000062,1234560000062,H&M Robe,DIM1-62,Dimension 1 Article 62,DIM2-62,Dimension 2 Article 62,Géant Tunisia,Famille1-62,Famille2-62,Famille3-62,Famille4-62,Famille5-62,Famille6-62,Famille7-62,Famille8-62,61,2025-08-02,198.75,154.73,CAT002
63,ART000063,1234560000063,Zituna Huile d'olive,DIM1-63,Dimension 1 Article 63,DIM2-63,Dimension 2 Article 63,Géant Tunisia,Famille1-63,Famille2-63,Famille3-63,Famille4-63,Famille5-63,Famille6-63,Famille7-63,Famille8-63,41,2024-10-30,28.32,19.78,CAT003
64,ART000064,1234560000064,Apple Smartphone,DIM1-64,Dimension 1 Article 64,DIM2-64,Dimension 2 Article 64,Nike Middle East,Famille1-64,Famille2-64,Famille3-64,Famille4-64,Famille5-64,Famille6-64,Famille7-64,Famille8-64,61,2025-12-22,1926.99,1286.59,CAT009
65,ART000065,1234560000065,HP Ordinateur portable,DIM1-65,Dimension 1 Article 65,DIM2-65,Dimension 2 Article 65,Monoprix,Famille1-65,Famille2-65,Famille3-65,Famille4-65,Famille5-65,Famille6-65,Famille7-65,Famille8-65,58,2025-04-01,1571.51,947.06,CAT008
66,ART000066,1234560000066,Panzani Pâtes,DIM1-66,Dimension 1 Article 66,DIM2-66,Dimension 2 Article 66,Nike Middle East,Famille1-66,Famille2-66,Famille3-66,Famille4-66,Famille5-66,Famille6-66,Famille7-66,Famille8-66,90,2026-02-13,3.02,1.81,CAT003
67,ART000067,1234560000067,Mamma Pâtes,DIM1-67,Dimension 1 Article 67,DIM2-67,Dimension 2 Article 67,Nestlé Tunisia,Famille1-67,Famille2-67,Famille3-67,Famille4-67,Famille5-67,Famille6-67,Famille7-67,Famille8-67,5,2024-10-15,7.39,5.7,CAT003
68,ART000068,1234560000068,Microsoft Souris,DIM1-68,Dimension 1 Article 68,DIM2-68,Dimension 2 Article 68,Géant Tunisia,Famille1-68,Famille2-68,Famille3-68,Famille4-68,Famille5-68,Famille6-68,Famille7-68,Famille8-68,36,2026-03-31,46.35,32.59,CAT008
69,ART000069,1234560000069,Head&Shoulders Shampoing,DIM1-69,Dimension 1 Article 69,DIM2-69,Dimension 2 Article 69,Unilever North Africa,Famille1-69,Famille2-69,Famille3-69,Famille4-69,Famille5-69,Famille6-69,Famille7-69,Famille8-69,92,2026-06-07,29.26,21.55,CAT004
70,ART000070,1234560000070,Délice Yaourt,DIM1-70,Dimension 1 Article 70,DIM2-70,Dimension 2 Article 70,LG Electronics,Famille1-70,Famille2-70,Famille3-70,Famille4-70,Famille5-70,Famille6-70,Famille7-70,Famille8-70,11,2026-06-12,5.08,3.37,CAT003
71,ART000071,1234560000071,Colgate Dentifrice,DIM1-71,Dimension 1 Article 71,DIM2-71,Dimension 2 Article 71,Nestlé Tunisia,Famille1-71,Famille2-71,Famille3-71,Famille4-71,Famille5-71,Famille6-71,Famille7-71,Famille8-71,74,2025-04-04,15.99,11.45,CAT004
72,ART000072,1234560000072,Apple Écouteurs,DIM1-72,Dimension 1 Article 72,DIM2-72,Dimension 2 Article 72,Carrefour Tunisie,Famille1-72,Famille2-72,Famille3-72,Famille4-72,Famille5-72,Famille6-72,Famille7-72,Famille8-72,67,2024-07-23,155.68,93.62,CAT009
73,ART000073,1234560000073,Délice Yaourt,DIM1-73,Dimension 1 Article 73,DIM2-73,Dimension 2 Article 73,L'Oréal Tunisie,Famille1-73,Famille2-73,Famille3-73,Famille4-73,Famille5-73,Famille6-73,Famille7-73,Famille8-73,84,2025-08-24,5.44,3.57,CAT003
74,ART000074,1234560000074,LG Machine à laver,DIM1-74,Dimension 1 Article 74,DIM2-74,Dimension 2 Article 74,L'Oréal Tunisie,Famille1-74,Famille2-74,Famille3-74,Famille4-74,Famille5-74,Famille6-74,Famille7-74,Famille8-74,23,2026-03-11,1362.36,885.97,CAT001
75,ART000075,1234560000075,Head Raquette de tennis,DIM1-75,Dimension 1 Article 75,DIM2-75,Dimension 2 Article 75,Nike Middle East,Famille1-75,Famille2-75,Famille3-75,Famille4-75,Famille5-75,Famille6-75,Famille7-75,Famille8-75,6,2026-02-08,338.58,236.68,CAT006
76,ART000076,1234560000076,Bridgestone Pneu,DIM1-76,Dimension 1 Article 76,DIM2-76,Dimension 2 Article 76,Monoprix,Famille1-76,Famille2-76,Famille3-76,Famille4-76,Famille5-76,Famille6-76,Famille7-76,Famille8-76,88,2026-05-05,381.75,288.04,CAT007
77,ART000077,1234560000077,Mobilia Oreiller,DIM1-77,Dimension 1 Article 77,DIM2-77,Dimension 2 Article 77,Sony Middle East,Famille1-77,Famille2-77,Famille3-77,Famille4-77,Famille5-77,Famille6-77,Famille7-77,Famille8-77,98,2024-08-24,39.78,26.89,CAT005
78,ART000078,1234560000078,Barilla Pâtes,DIM1-78,Dimension 1 Article 78,DIM2-78,Dimension 2 Article 78,Géant Tunisia,Famille1-78,Famille2-78,Famille3-78,Famille4-78,Famille5-78,Famille6-78,Famille7-78,Famille8-78,46,2025-01-31,5.36,3.8,CAT003
79,ART000079,1234560000079,Exide Batterie,DIM1-79,Dimension 1 Article 79,DIM2-79,Dimension 2 Article 79,Samsung Tunisia,Famille1-79,Famille2-79,Famille3-79,Famille4-79,Famille5-79,Famille6-79,Famille7-79,Famille8-79,60,2025-03-19,242.71,165.55,CAT007
80,ART000080,1234560000080,Adidas Chaussures de sport,DIM1-80,Dimension 1 Article 80,DIM2-80,Dimension 2 Article 80,Decathlon Tunisia,Famille1-80,Famille2-80,Famille3-80,Famille4-80,Famille5-80,Famille6-80,Famille7-80,Famille8-80,68,2025-07-31,291.38,204.75,CAT006
81,ART000081,1234560000081,Casa Oreiller,DIM1-81,Dimension 1 Article 81,DIM2-81,Dimension 2 Article 81,LG Electronics,Famille1-81,Famille2-81,Famille3-81,Famille4-81,Famille5-81,Famille6-81,Famille7-81,Famille8-81,56,2025-11-10,60.69,44.94,CAT005
82,ART000082,1234560000082,Shell Huile moteur,DIM1-82,Dimension 1 Article 82,DIM2-82,Dimension 2 Article 82,Nestlé Tunisia,Famille1-82,Famille2-82,Famille3-82,Famille4-82,Famille5-82,Famille6-82,Famille7-82,Famille8-82,22,2026-06-11,53.29,33.14,CAT007
83,ART000083,1234560000083,Nike Ballon de football,DIM1-83,Dimension 1 Article 83,DIM2-83,Dimension 2 Article 83,Samsung Tunisia,Famille1-83,Famille2-83,Famille3-83,Famille4-83,Famille5-83,Famille6-83,Famille7-83,Famille8-83,49,2024-12-30,56.05,41.59,CAT006
84,ART000084,1234560000084,Colgate Dentifrice,DIM1-84,Dimension 1 Article 84,DIM2-84,Dimension 2 Article 84,LG Electronics,Famille1-84,Famille2-84,Famille3-84,Famille4-84,Famille5-84,Famille6-84,Famille7-84,Famille8-84,11,2024-12-16,21.4,13.18,CAT004
85,ART000085,1234560000085,Beko Réfrigérateur,DIM1-85,Dimension 1 Article 85,DIM2-85,Dimension 2 Article 85,Adidas MENA,Famille1-85,Famille2-85,Famille3-85,Famille4-85,Famille5-85,Famille6-85,Famille7-85,Famille8-85,52,2026-01-18,1466.26,1025.54,CAT001
86,ART000086,1234560000086,Head Raquette de tennis,DIM1-86,Dimension 1 Article 86,DIM2-86,Dimension 2 Article 86,Unilever North Africa,Famille1-86,Famille2-86,Famille3-86,Famille4-86,Famille5-86,Famille6-86,Famille7-86,Famille8-86,89,2025-10-08,249.02,170.77,CAT006
87,ART000087,1234560000087,Zara T-shirt,DIM1-87,Dimension 1 Article 87,DIM2-87,Dimension 2 Article 87,Carrefour Tunisie,Famille1-87,Famille2-87,Famille3-87,Famille4-87,Famille5-87,Famille6-87,Famille7-87,Famille8-87,50,2026-03-27,64.26,44.93,CAT002
88,ART000088,1234560000088,Danone Yaourt,DIM1-88,Dimension 1 Article 88,DIM2-88,Dimension 2 Article 88,Danone Tunisia,Famille1-88,Famille2-88,Famille3-88,Famille4-88,Famille5-88,Famille6-88,Famille7-88,Famille8-88,19,2026-02-10,4.83,3.45,CAT003
89,ART000089,1234560000089,Logitech Clavier,DIM1-89,Dimension 1 Article 89,DIM2-89,Dimension 2 Article 89,Danone Tunisia,Famille1-89,Famille2-89,Famille3-89,Famille4-89,Famille5-89,Famille6-89,Famille7-89,Famille8-89,67,2024-07-23,34.04,25.22,CAT008
90,ART000090,1234560000090,Lenovo Ordinateur portable,DIM1-90,Dimension 1 Article 90,DIM2-90,Dimension 2 Article 90,Monoprix,Famille1-90,Famille2-90,Famille3-90,Famille4-90,Famille5-90,Famille6-90,Famille7-90,Famille8-90,66,2025-06-12,2107.86,1268.79,CAT008
91,ART000091,1234560000091,Pull&Bear Pantalon,DIM1-91,Dimension 1 Article 91,DIM2-91,Dimension 2 Article 91,Apple MENA,Famille1-91,Famille2-91,Famille3-91,Famille4-91,Famille5-91,Famille6-91,Famille7-91,Famille8-91,90,2025-12-07,86.48,60.87,CAT002
